Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute
NA,NA,NA,NA,Ang,Pm,Pm,Pm,Kelvin,Kelvin,kJ/mol,kJ/mol-1,Pauling,Allred,EV
String,String,String,Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Name,Symbol,Econfig,An,Am,Vwr,Ar,Cr,Mp,Bp,Ea1,Ie1,Enpauling,Enallred,Enabs
Cesium,Cs,4d105s25p66s1,55,132.905,NA,260,244,301.59,944,45.5,375.7,0.79,,
Barium,Ba,4d105s25p66s2,56,137.327,NA,217,215,1002,1910,13.95,502.8,0.89,0.97,2.4
Lanthanum,La,,57,,,,207,1193,3737,45,538.1,1.1,,
Cerium,Ce,,58,,,,204,1071,3716,55,534.4,1.12,,
Praseodymium,Pr,,59,,,,203,1204,3403,93,527,1.13,,
Neodymium,Nd,,60,,,,201,1294,3347,16,533.1,1.14,,
Promethium,Pm,,61,,,,199,1373,3273,12,540,1.13,,
Samarium,Sm,,62,,,,198,1345,2173,16,544.5,1.17,,
Europium,Eu,,63,,,,198,1095,1802,11,547.1,1.2,,
Gadolinium,Gd,,64,,,,196,1586,3273,13,593.4,1.2,,
Terbium,Tb,,65,,,,194,1629,3396,42,565.8,1.1,,
Dysprosium,Dy,,66,,,,192,1685,2840,34,573,1.22,,
Holmium,Ho,,67,,,,192,1747,2873,33,581,1.23,,
Erbium,Er,,68,,,,189,1770,3141,30,589.3,1.24,,
Thulium,Tm,,69,,,,190,1818,2223,99,596.7,1.25,,
Ytterbium,Yb,,70,,,,187,1092,1703,0,603.4,1.1,,
Lutetium,Lu,,71,,,,187,1936,3675,33,523.5,1.27,,
Hafnium,Hf,,72,,,,175,2506,4876,11,658.5,1.3,,
Tantalum,Ta,,73,,,,170,3290,5731,31,761,1.5,,
Tungsten,W,,74,,,,162,3695,6203,79,770,2.36,,
Rhenium,Re,,75,,,,151,3459,5869,14,760,1.9,,
Osmium,Os,,76,,,,144,3306,5285,104,840,2.2,,
Iridium,Ir,,77,,,,141,2739,4403,150,880,2.2,,
Platinum,Pt,,78,,,,136,2041.4,4098,205,870,2.28,,
Gold,Au,,79,,,,136,1337.33,3243,223,890.1,2.54,,
Mercury,Hg,,80,,,,132,234.32,629.88,0,1007.1,2,,
Thallium,Tl,,81,,,,145,577,1746,36,589.4,1.62,,
Lead,Pb,4d105s25p64f145d106s26p2,82,207.2,NA,175,146,600.65,2022,35.1,715.5,1.87,1.55,3.9
Bismuth,Bi,,83,,,,148,544.4,1837,91,703,2.02,,
Polonium,Po,,84,,,,140,527,1235,127,812.1,2,,
Astatine,At,,85,,,,150,575,610,269,890,2.2,,
Radon,Rn,,86,,,,150,202,211.5,0,1037,2.2,,
Francium,Fr,,87,,,,260,300,950,47,380,0.7,,
Radium,Ra,,88,,,,221,973,2010,,,0.9,,
Actinium,Ac,,89,,,,,,,,,,,
Thorium,Th,,90,,,,,,,,,,,
Protactinium,Pa,,91,,,,,,,,,,,
Uranium,U,,92,,,,,,,,,,,
Neptunium,Np,,93,,,,,,,,,,,
Plutonium,Pu,,94,,,,,,,,,,,
Americium,Am,,95,,,,,,,,,,,
Curium,Cm,,96,,,,,,,,,,,
Berkelium,Bk,,97,,,,,,,,,,,
Californium,Cf,,98,,,,,,,,,,,
Einsteinium,Es,,99,,,,,,,,,,,
Fermium,Fm,,100,,,,,,,,,,,
Mendelevium,Md,,101,,,,,,,,,,,
Nobelium,No,,102,,,,,,,,,,,
Lawrencium,Lw,,103,,,,,,,,,,,
Rutherfordium,Rf,,104,,,,,,,,,,,
Dubnium,Db,,105,,,,,,,,,,,
Seaborgium,Sg,,106,,,,,,,,,,,
Bohrium,Bh,,107,,,,,,,,,,,
Hassium,Hs,,108,,,,,,,,,,,
Meitnerium,Mt,,109,,,,,,,,,,,
